,case_id,continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,prevailing_wage,unit_of_wage,full_time_position,case_status
0,EZYV01,Asia,High School,N,N,14513,2007,West,592.2029,Hour,Y,Denied
1,EZYV02,Asia,Master's,Y,N,2412,2002,Northeast,83425.65,Year,Y,Certified
2,EZYV03,Asia,Bachelor's,N,Y,44444,2008,West,122996.86,Year,Y,Denied
3,EZYV04,Asia,Bachelor's,N,N,98,1897,West,83434.03,Year,Y,Denied
4,EZYV05,Africa,Master's,Y,N,1082,2005,South,149907.39,Year,Y,Certified
5,EZYV06,Asia,Master's,Y,N,2339,2012,South,78252.14,Year,Y,Certified
6,EZYV07,Asia,Bachelor's,N,N,4985,1994,South,53635.39,Year,Y,Certified
7,EZYV08,North America,Bachelor's,Y,N,3035,1924,West,418.2298,Hour,Y,Denied
8,EZYV09,Asia,Bachelor's,N,N,4810,2012,Midwest,74362.19,Year,Y,Certified
9,EZYV10,Europe,Doctorate,Y,N,2251,1995,South,67514.76,Year,Y,Certified
10,EZYV11,Asia,Master's,N,N,2465,2004,Midwest,83588.56,Year,Y,Certified
11,EZYV12,Asia,High School,Y,N,4069,2005,Northeast,70813.09,Year,Y,Denied
12,EZYV13,Asia,Bachelor's,Y,N,123876,1963,Northeast,28663.05,Year,Y,Certified
13,EZYV14,Asia,Bachelor's,Y,N,1652,2007,Midwest,107196.03,Year,Y,Certified
14,EZYV15,Asia,Master's,Y,Y,15756,2006,South,220081.73,Year,Y,Certified
15,EZYV16,Asia,High School,Y,N,4897,1987,West,74108.02,Year,Y,Denied
16,EZYV17,Europe,Master's,Y,N,76638,1991,Midwest,3706.79,Year,Y,Certified
17,EZYV18,Asia,Master's,Y,N,2747,2001,West,16132.61,Year,Y,Certified
18,EZYV19,Africa,Master's,Y,N,4743,2004,Midwest,150441.13,Year,Y,Certified
19,EZYV20,Asia,Doctorate,N,N,843,1972,Midwest,79948.12,Year,Y,Certified
20,EZYV21,Asia,Master's,N,N,880,2008,West,71128.98,Year,Y,Denied
21,EZYV22,North America,Master's,Y,N,1706,2013,Midwest,137694.98,Year,N,Certified
22,EZYV23,Asia,Master's,Y,N,2878,1968,West,45642.39,Year,Y,Certified
23,EZYV24,North America,High School,N,N,1517,1884,Midwest,90108.38,Year,N,Certified
24,EZYV25,Europe,Doctorate,Y,N,241,1981,Midwest,71286.04,Year,Y,Certified
25,EZYV26,North America,Master's,N,N,1100,1997,Midwest,99489.65,Year,Y,Certified
26,EZYV27,Asia,Bachelor's,Y,N,756,1995,South,86332.95,Year,Y,Certified
27,EZYV28,Asia,High School,Y,Y,2889,2005,South,103029.33,Year,Y,Certified
28,EZYV29,Asia,Master's,Y,N,18,2004,Northeast,40925.86,Year,Y,Certified
29,EZYV30,Asia,Bachelor's,Y,N,758,2009,Northeast,189190.48,Year,Y,Certified
30,EZYV31,Asia,Master's,Y,N,1408,1998,Midwest,79594.12,Year,N,Certified
31,EZYV32,Asia,Doctorate,Y,N,995,1880,South,135866.13,Year,N,Certified
32,EZYV33,Asia,Bachelor's,N,N,2415,1963,Midwest,72077.57,Year,N,Certified
33,EZYV34,Asia,High School,N,N,2395,2000,South,81921.18,Year,Y,Certified
34,EZYV35,Asia,Master's,N,N,1809,2010,South,225569.73,Year,N,Certified
35,EZYV36,Asia,High School,Y,N,5512,2001,Northeast,92421.92,Year,Y,Denied
36,EZYV37,Europe,High School,Y,N,2520,1981,West,2490.12,Year,Y,Denied
37,EZYV38,Europe,Master's,Y,Y,44,1965,South,110817.26,Year,Y,Certified
38,EZYV39,Asia,Bachelor's,Y,Y,2206,1909,Northeast,50960.01,Year,Y,Certified
39,EZYV40,Asia,Master's,N,N,3729,2007,Midwest,125336.9,Year,Y,Certified
40,EZYV41,Asia,Bachelor's,Y,N,3723,2011,West,39633.32,Year,Y,Certified
41,EZYV42,Asia,Master's,Y,N,1209,1989,Northeast,156326.33,Year,N,Certified
42,EZYV43,Europe,Doctorate,Y,N,19770,2005,West,43630.58,Year,Y,Certified
43,EZYV44,North America,Master's,Y,N,2582,1989,South,54614.42,Year,Y,Certified
44,EZYV45,Asia,High School,Y,N,5407,1998,West,28989.87,Year,Y,Denied
45,EZYV46,Europe,Bachelor's,N,Y,2092,1998,South,22924.91,Year,Y,Certified
46,EZYV47,Asia,Bachelor's,Y,N,2623,2008,South,61567.75,Year,Y,Certified
